name,nameascii,adm0name,adm0_a3,scalerank,natscale,labelrank,featurecla,pop_max,pop_min,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,centered_x_int,centered_y_int,region_id,population_weight,network_weight,security_weight,financial_weight,cultural_weight,government_weight
Shuyang,Shuyang,China,CHN,7,20,1,Populated place,1770000,1770000,118.7733597,34.1298664,4149.62999583333,692.640744444444,4150,693,1649.62999583333,-307.359255555556,1650,-307,china,1.2,8.5,9,8,4.85,8.6
Shangqiu,Shangqiu,China,CHN,6,30,1,Populated place,1753000,181218,115.649610022157,34.4129416652438,4106.24458364107,688.709143538281,4106,689,1606.24458364107,-311.290856461719,1606,-311,china,1.2,8.5,9,8,4.85,8.6
Wuxi,Wuxi,China,CHN,4,50,1,Populated place,1749000,1108647,120.298039,31.581942,4170.80609722222,728.028583333333,4171,728,1670.80609722222,-271.971416666667,1671,-272,china,1.19,8.5,9,8,4.84,8.6
Hohhot,Hohhot,China,CHN,4,50,1,Admin-1 capital,1726000,774477,111.6580496,40.8219207,4050.80624444445,599.695545833333,4051,600,1550.80624444445,-400.304454166667,1551,-400,china,1.19,8.5,9,8,4.84,8.6
Luoyang,Luoyang,China,CHN,6,30,1,Populated place,1715000,1390581,112.444471213325,34.6437700284256,4061.72876685173,685.503194049644,4062,686,1561.72876685173,-314.496805950356,1562,-314,china,1.19,8.5,9,8,4.84,8.6
Jianmen,Jianmen,China,CHN,6,30,1,Populated place,1708000,167750,113.1580614,30.6519988,4071.63974166667,740.944461111111,4072,741,1571.63974166667,-259.055538888889,1572,-259,china,1.18,8.5,9,8,4.84,8.6
Daqing,Daqing,China,CHN,4,50,1,Populated place,1693000,203488,124.9980622,46.581905,4236.08419722222,519.695763888889,4236,520,1736.08419722222,-480.304236111111,1736,-480,china,1.18,8.5,9,8,4.84,8.6
Luan,Luan,China,CHN,6,30,1,Populated place,1690000,1126455,116.4780655,31.7522934,4117.75090972222,725.662591666667,4118,726,1617.75090972222,-274.337408333333,1618,-274,china,1.18,8.5,9,8,4.84,8.6
Wanzhou,Wanzhou,China,CHN,6,30,1,Populated place,1680000,1680000,108.4000394,30.8199909,4005.55610277778,738.6112375,4006,739,1505.55610277778,-261.3887625,1506,-261,china,1.18,8.5,9,8,4.84,8.6
Suzhou,Suzhou,China,CHN,4,50,1,Populated place,1650000,1343091,120.6180712,31.3024242,4175.25098888889,731.910775,4175,732,1675.25098888889,-268.089225,1675,-268,china,1.17,8.5,9,8,4.83,8.6
Qiqihar,Qiqihar,China,CHN,3,110,1,Populated place,1641000,882364,123.9880464,47.3469229,4222.0562,509.070515277778,4222,509,1722.0562,-490.929484722222,1722,-491,china,1.17,8.5,9,8,4.83,8.6
Anshan,Anshan,China,CHN,4,50,1,Populated place,1639000,1199275,122.9380846,41.1169672,4207.47339722222,595.597677777778,4207,596,1707.47339722222,-404.402322222222,1707,-404,china,1.17,8.5,9,8,4.83,8.6
Handan,Handan,China,CHN,4,50,1,Populated place,1631000,1358318,114.4780325,36.5819211,4089.97267361111,658.584429166667,4090,659,1589.97267361111,-341.415570833333,1590,-341,china,1.16,8.5,9,8,4.83,8.6
Taian,Taian,China,CHN,6,30,1,Populated place,1629000,1629000,117.1181298,36.2019443,4126.64069166667,663.861884722222,4127,664,1626.64069166667,-336.138115277778,1627,-336,china,1.16,8.5,9,8,4.83,8.6
Shantou,Shantou,China,CHN,3,110,1,Populated place,1601000,1333973,116.6680797,23.3719522,4120.38999583333,842.056219444445,4120,842,1620.38999583333,-157.943780555555,1620,-158,china,1.16,8.5,9,8,4.83,8.6
Zhanjiang,Zhanjiang,China,CHN,4,50,1,Populated place,1590000,637790,110.3780761,21.2019296,4033.02883472222,872.195422222222,4033,872,1533.02883472222,-127.804577777778,1533,-128,china,1.15,8.5,9,8,4.83,8.6
Xiantao,Xiantao,China,CHN,6,30,1,Populated place,1556000,239406,113.438096,30.3723518,4075.52911111111,744.828447222222,4076,745,1575.52911111111,-255.171552777778,1576,-255,china,1.14,8.5,9,8,4.82,8.6
Weifang,Weifang,China,CHN,6,30,1,Populated place,1553000,394732,119.155625699429,36.702285137592,4154.9392458254,656.912706422333,4155,657,1654.9392458254,-343.087293577667,1655,-343,china,1.14,8.5,9,8,4.82,8.6
Xinyang,Xinyang,China,CHN,6,30,1,Populated place,1541000,1282888,114.0680317,32.1323219,4084.27821805556,720.384418055556,4084,720,1584.27821805556,-279.615581944444,1584,-280,china,1.14,8.5,9,8,4.82,8.6
Luzhou,Luzhou,China,CHN,6,30,1,Populated place,1537000,1537000,105.3780712,28.8819259,3963.58432222222,765.528806944445,3964,766,1463.58432222222,-234.471193055556,1464,-234,china,1.14,8.5,9,8,4.82,8.6
Ganzhou,Ganzhou,China,CHN,6,30,1,Populated place,1500000,932269,114.9500272,25.9199799,4096.52815555556,806.666945833333,4097,807,1596.52815555556,-193.333054166667,1597,-193,china,1.13,8.5,9,8,4.81,8.6
Liuzhou,Liuzhou,China,CHN,6,30,1,Populated place,1497000,1375061,109.413529495733,24.3207772952167,4019.6323541074,828.87809312199,4020,829,1519.6323541074,-171.12190687801,1520,-171,china,1.13,8.5,9,8,4.81,8.6
Fushun,Fushun,China,CHN,6,30,1,Admin-1 capital,1470000,1400646,123.8680537,41.8673349,4220.38963472222,585.175904166667,4220,585,1720.38963472222,-414.824095833333,1720,-415,china,1.12,8.5,9,8,4.81,8.6
Changde,Changde,China,CHN,6,30,1,Populated place,1469000,517780,111.6781001,29.0319426,4051.08472361111,763.445241666667,4051,763,1551.08472361111,-236.554758333333,1551,-237,china,1.12,8.5,9,8,4.81,8.6
Neijiang,Neijiang,China,CHN,4,50,1,Populated place,1466000,546854,105.0480655,29.5823225,3959.00090972222,755.801076388889,3959,756,1459.00090972222,-244.198923611111,1459,-244,china,1.12,8.5,9,8,4.81,8.6
Quanzhou,Quanzhou,China,CHN,4,50,1,Populated place,1463000,184143,118.5780407,24.9019622,4146.91723194444,820.806080555556,4147,821,1646.91723194444,-179.193919444444,1647,-179,china,1.12,8.5,9,8,4.81,8.6
Huainan,Huainan,China,CHN,3,110,1,Populated place,1451000,1027655,116.978035,32.6319296,4124.69493055556,713.445422222222,4125,713,1624.69493055556,-286.554577777778,1625,-287,china,1.12,8.5,9,8,4.81,8.6
Suining,Suining,China,CHN,6,30,1,Populated place,1425000,1425000,105.5313874,30.5352792,3965.71371388889,742.565566666667,3966,743,1465.71371388889,-257.434433333333,1466,-257,china,1.11,8.5,9,8,4.8,8.6
Mianyang,Mianyang,China,CHN,4,50,1,Populated place,1396000,264136,104.689992878763,31.4648275812928,3954.02767887171,729.655172482044,3954,730,1454.02767887171,-270.344827517956,1454,-270,china,1.1,8.5,9,8,4.8,8.6
Maanshan,Maanshan,China,CHN,7,20,1,Populated place,1366302,633940,118.485148474062,31.6725639222406,4145.62706213976,726.769945524436,4146,727,1645.62706213976,-273.230054475564,1646,-273,china,1.1,8.5,9,8,4.8,8.6
Yiyang,Yiyang,China,CHN,6,30,1,Populated place,1352000,202608,112.3280862,28.6023564,4060.11230833333,769.411716666667,4060,769,1560.11230833333,-230.588283333333,1560,-231,china,1.09,8.5,9,8,4.79,8.6
Heze,Heze,China,CHN,6,30,1,Populated place,1338000,254602,115.4481025,35.2319259,4103.44586805556,677.3343625,4103,677,1603.44586805556,-322.6656375,1603,-323,china,1.09,8.5,9,8,4.79,8.6
Changzhou,Changzhou,China,CHN,6,30,1,Populated place,1327000,949018,119.9680333,31.7819298,4166.22268472222,725.250975,4166,725,1666.22268472222,-274.749025,1666,-275,china,1.08,8.5,9,8,4.79,8.6
Chifeng,Chifeng,China,CHN,4,50,1,Populated place,1277000,346654,118.9480439,42.2719613,4152.05616527778,579.556093055556,4152,580,1652.05616527778,-420.443906944444,1652,-420,china,1.07,8.5,9,8,4.79,8.6
Huaiyin,Huaiyin,China,CHN,4,50,1,Populated place,1264000,555230,119.065967246689,33.5851649033301,4153.69398953735,700.206043009304,4154,700,1653.69398953735,-299.793956990696,1654,-300,china,1.07,8.5,9,8,4.79,8.6
Mudangiang,Mudangiang,China,CHN,6,30,1,Populated place,1244000,665915,129.5880663,44.5769628,4299.83425416667,547.542183333333,4300,548,1799.83425416667,-452.457816666667,1800,-452,china,1.06,8.5,9,8,4.78,8.6
Huzhou,Huzhou,China,CHN,6,30,1,Populated place,1231000,158320,120.0980513,30.8723212,4168.02849027778,737.884427777778,4168,738,1668.02849027778,-262.115572222222,1668,-262,china,1.06,8.5,9,8,4.78,8.6
Tianshui,Tianshui,China,CHN,4,50,1,Populated place,1225000,74767,105.9180382,34.6019644,3971.08386388889,686.083827777778,3971,686,1471.08386388889,-313.916172222222,1471,-314,china,1.06,8.5,9,8,4.78,8.6
Liupanshui,Liupanshui,China,CHN,4,50,1,Populated place,1221000,551512,104.8313862,26.5963807,3955.991475,797.272490277778,3956,797,1455.991475,-202.727509722222,1456,-203,china,1.06,8.5,9,8,4.78,8.6
Maoming,Maoming,China,CHN,7,20,1,Populated place,1217715,1217715,110.8700179,21.9204049,4039.86135972222,862.216598611111,4040,862,1539.86135972222,-137.783401388889,1540,-138,china,1.06,8.5,9,8,4.78,8.6
Jining,Jining,China,CHN,6,30,1,Populated place,1186000,450327,116.5480871,35.4023548,4118.72343194444,674.967294444445,4119,675,1618.72343194444,-325.032705555556,1619,-325,china,1.05,8.5,9,8,4.78,8.6
Leshan,Leshan,China,CHN,6,30,1,Populated place,1157000,154477,103.7314017,29.5690416,3940.7139125,755.985533333333,3941,756,1440.7139125,-244.014466666667,1441,-244,china,1.04,8.5,9,8,4.77,8.6
Shangrao,Shangrao,China,CHN,7,20,1,Populated place,1144577,700266,117.9699979,28.4703927,4138.47219305556,771.244545833333,4138,771,1638.47219305556,-228.755454166667,1638,-229,china,1.04,8.5,9,8,4.77,8.6
Yulin,Yulin,China,CHN,4,50,1,Populated place,1127000,148485,110.1480643,22.6319198,4029.83422638889,852.334447222222,4030,852,1529.83422638889,-147.665552777778,1530,-148,china,1.03,8.5,9,8,4.76,8.6
Xianyang,Xianyang,China,CHN,6,30,1,Populated place,1126000,1126000,108.7127763,34.3475015,4009.89967083333,689.618034722222,4010,690,1509.89967083333,-310.381965277778,1510,-310,china,1.03,8.5,9,8,4.76,8.6
Baoding,Baoding,China,CHN,7,20,1,Populated place,1107000,995652,115.468896503111,38.8583402606481,4103.73467365432,626.967496379887,4104,627,1603.73467365432,-373.032503620113,1604,-373,china,1.03,8.5,9,8,4.76,8.6
Zigong,Zigong,China,CHN,7,20,1,Populated place,1105000,689961,104.7780561,29.4019459,3955.25077916667,758.306306944445,3955,758,1455.25077916667,-241.693693055556,1455,-242,china,1.03,8.5,9,8,4.76,8.6
Ankang,Ankang,China,CHN,4,50,1,Populated place,1100000,950000,109.0200016,32.6799807,4014.16668888889,712.778045833333,4014,713,1514.16668888889,-287.221954166667,1514,-287,china,1.03,8.5,9,8,4.76,8.6
Jinhua,Jinhua,China,CHN,6,30,1,Populated place,1092852,142206,119.6499987,29.1200429,4161.8055375,762.221626388889,4162,762,1661.8055375,-237.778373611111,1662,-238,china,1.02,8.5,9,8,4.76,8.6
Zhuzhou,Zhuzhou,China,CHN,6,30,1,Populated place,1080000,709358,113.1480879,27.8319384,4071.50122083333,780.111966666667,4072,780,1571.50122083333,-219.888033333333,1572,-220,china,1.02,8.5,9,8,4.76,8.6
Xiangyang,Xiangyang,China,CHN,6,30,1,Populated place,1069000,462956,112.1280985,32.021941,4057.33470138889,721.917486111111,4057,722,1557.33470138889,-278.082513888889,1557,-278,china,1.02,8.5,9,8,4.76,8.6
Zhucheng,Zhucheng,China,CHN,8,10,1,Populated place,1060000,703927,119.3800927,35.9899595,4158.05684305556,666.806118055556,4158,667,1658.05684305556,-333.193881944444,1658,-333,china,1.02,8.5,9,8,4.76,8.6
Xining,Xining,China,CHN,3,110,1,Admin-1 capital,1048000,767531,101.768059,36.6219445,3913.44526388889,658.028548611111,3913,658,1413.44526388889,-341.971451388889,1413,-342,china,1.01,8.5,9,8,4.75,8.6
Zhangjiakou,Zhangjiakou,China,CHN,6,30,1,Populated place,1046000,559641,114.852026910114,40.8052551693324,4095.16704041826,599.927011537051,4095,600,1595.16704041826,-400.072988462949,1595,-400,china,1.01,8.5,9,8,4.75,8.6
Zhuhai,Zhuhai,China,CHN,6,30,1,Populated place,1023000,1023000,113.5658319,22.2788903,4077.30322083333,857.237634722222,4077,857,1577.30322083333,-142.762365277778,1577,-143,china,1.01,8.5,9,8,4.75,8.6
Jiamusi,Jiamusi,China,CHN,4,50,1,Populated place,1020000,549549,130.3480716,46.8319672,4310.38988333333,516.222677777778,4310,516,1810.38988333333,-483.777322222222,1810,-484,china,1.01,8.5,9,8,4.75,8.6
Hengyang,Hengyang,China,CHN,4,50,1,Populated place,1016000,759602,112.5880704,26.8819705,4063.7232,793.305965277778,4064,793,1563.7232,-206.694034722222,1564,-207,china,1,8.5,9,8,4.75,8.6
Benxi,Benxi,China,CHN,6,30,1,Populated place,1012000,835866,123.748061,41.3323288,4218.72306944444,592.606544444445,4219,593,1718.72306944444,-407.393455555556,1719,-407,china,1,8.5,9,8,4.75,8.6
Qinhuangdao,Qinhuangdao,China,CHN,6,30,1,Populated place,1003000,759718,119.6180805,39.9323109,4161.36222916667,612.0512375,4161,612,1661.36222916667,-387.9487625,1661,-388,china,1,8.5,9,8,4.75,8.6
Baoshan,Baoshan,China,CHN,4,50,1,Populated place,1000000,850000,99.1500097,25.119977,3877.08346805556,817.778097222222,3877,818,1377.08346805556,-182.221902777778,1377,-182,china,1,8.5,9,8,4.75,8.6
Yongzhou,Yongzhou,China,CHN,6,30,1,Populated place,1000000,400361,111.609134986458,26.4179199358715,4050.12687481191,799.751112001785,4050,800,1550.12687481191,-200.248887998215,1550,-200,china,1,8.5,9,8,4.75,8.6
Mexico City,Mexico City,Mexico,MEX,0,600,2,Admin-0 capital,19028000,10811002,-99.1329341,19.4443883,1123.15369305556,896.605718055556,1123,897,-1376.84630694444,-103.394281944444,-1377,-103,central_america_caribbean,5.68,4.5,4.5,4.5,5.09,4.5
Guadalajara,Guadalajara,Mexico,MEX,2,200,2,Admin-1 capital,4198000,1640589,-103.3319801,20.671962,1064.83360972222,879.556083333333,1065,880,-1435.16639027778,-120.443916666667,-1435,-120,central_america_caribbean,1.83,4.5,4.5,4.5,3.17,4.5
Monterrey,Monterrey,Mexico,MEX,1,300,2,Admin-1 capital,3712000,1122874,-100.3319306,25.671941,1106.50096388889,810.111930555556,1107,810,-1393.49903611111,-189.888069444444,-1393,-190,central_america_caribbean,1.7,4.5,4.5,4.5,3.1,4.5
San Juan,San Juan,Puerto Rico,PRI,3,110,0,Admin-1 capital,2478905,395326,-66.1299793,18.440023,1581.52806527778,910.555236111111,1582,911,-918.471934722222,-89.4447638888889,-918,-89,central_america_caribbean,1.38,4.5,4.5,4.5,2.94,4.5
Puebla,Puebla,Mexico,MEX,2,200,2,Admin-1 capital,2195000,1392099,-98.2037372554249,19.0325938390164,1136.05920478577,902.325085569217,1136,902,-1363.94079521423,-97.6749144307827,-1364,-98,central_america_caribbean,1.31,4.5,4.5,4.5,2.91,4.5
Havana,Havana,Cuba,CUB,2,200,6,Admin-0 capital,2174000,1990917,-82.366128,23.1339047,1356.026,845.362434722222,1356,845,-1143.974,-154.637565277778,-1144,-155,central_america_caribbean,1.3,4.5,4.5,4.5,2.9,4.5
Santo Domingo,Santo Domingo,Dominican Republic,DOM,2,200,8,Admin-0 capital,2154000,2873,-69.9297423157906,18.4707450580484,1528.75357894735,910.128540860439,1529,910,-971.246421052646,-89.8714591395609,-971,-90,central_america_caribbean,1.3,4.5,4.5,4.5,2.9,4.5
Port-au-Prince,Port-au-Prince,Haiti,HTI,3,110,8,Admin-0 capital,1998000,1234742,-72.3379804,18.5429705,1495.30582777778,909.125409722222,1495,909,-1004.69417222222,-90.8745902777777,-1005,-91,central_america_caribbean,1.26,4.5,4.5,4.5,2.88,4.5
Tijuana,Tijuana,Mexico,MEX,3,110,2,Populated place,1553000,1376457,-117.0819418,32.5019634,873.861919444445,715.250508333333,874,715,-1626.13808055556,-284.749491666667,-1626,-285,central_america_caribbean,1.14,4.5,4.5,4.5,2.82,4.5
Santiago,Santiago,Dominican Republic,DOM,4,50,8,Admin-1 capital,1550753,1391262,-70.6700122,19.50001,1518.47205277778,895.833194444444,1518,896,-981.527947222222,-104.166805555556,-982,-104,central_america_caribbean,1.14,4.5,4.5,4.5,2.82,4.5
Toluca,Toluca,Mexico,MEX,7,20,2,Admin-1 capital,1531000,505881,-99.6531792854897,19.2893079514848,1115.92806547931,898.759611784934,1116,899,-1384.07193452069,-101.240388215066,-1384,-101,central_america_caribbean,1.14,4.5,4.5,4.5,2.82,4.5
León,Leon,Mexico,MEX,4,50,2,Populated place,1488000,1114626,-101.7019762,21.1519327,1087.47255277778,872.889823611111,1087,873,-1412.52744722222,-127.110176388889,-1413,-127,central_america_caribbean,1.13,4.5,4.5,4.5,2.81,4.5
San Salvador,San Salvador,El Salvador,SLV,3,110,8,Admin-0 capital,1433000,2807,-89.2155758045276,13.7032802591939,1260.89478049267,976.343329733419,1261,976,-1239.10521950733,-23.6566702665814,-1239,-24,central_america_caribbean,1.11,4.5,4.5,4.5,2.81,4.5
Ciudad Juárez,Ciudad Juarez,Mexico,MEX,6,30,2,Populated place,1343000,1343000,-106.4919939,31.6923229,1020.94452916667,726.495515277778,1021,726,-1479.05547083333,-273.504484722222,-1479,-274,central_america_caribbean,1.09,4.5,4.5,4.5,2.79,4.5
San José,San Jose,Costa Rica,CRI,3,110,8,Admin-0 capital,1284000,1724,-84.0788139696463,9.93037072794848,1332.23869486602,1028.74485100072,1332,1029,-1167.76130513398,28.7448510007157,-1168,29,central_america_caribbean,1.07,4.5,4.5,4.5,2.79,4.5
Panama City,Panama City,Panama,PAN,3,110,8,Admin-0 capital,1281000,408168,-79.534983,8.969963,1395.34745833333,1042.08384722222,1395,1042,-1104.65254166667,42.083847222222,-1105,42,central_america_caribbean,1.07,4.5,4.5,4.5,2.79,4.5
Torreón,Torreon,Mexico,MEX,4,50,2,Populated place,1144000,524066,-103.4219487,25.5719988,1063.58404583333,811.500016666667,1064,812,-1436.41595416667,-188.499983333333,-1436,-188,central_america_caribbean,1.04,4.5,4.5,4.5,2.77,4.5
Nezahualcoyotl,Nezahualcoyotl,Mexico,MEX,8,10,2,Populated place,1109363,750000,-99.0299866,19.4100155,1124.58351944444,897.083118055556,1125,897,-1375.41648055556,-102.916881944445,-1375,-103,central_america_caribbean,1.03,4.5,4.5,4.5,2.77,4.5
Guatemala City,Guatemala,Guatemala,GTM,3,110,8,Admin-0 capital,1024000,994938,-90.5289114,14.6230805,1242.65400833333,963.568326388889,1243,964,-1257.34599166667,-36.4316736111111,-1257,-36,central_america_caribbean,1.01,4.5,4.5,4.5,2.75,4.5
