name,nameascii,adm0name,adm0_a3,scalerank,natscale,labelrank,featurecla,pop_max,pop_min,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,centered_x_int,centered_y_int,region_id,population_weight,network_weight,security_weight,financial_weight,cultural_weight,government_weight
Faridabad,Faridabad,India,IND,4,50,1,Populated place,1394000,1394000,77.3147208,28.4352792,3573.81556666667,771.732233333333,3574,772,1073.81556666667,-228.267766666667,1074,-228,india,1.1,6,5.5,6,3.55,5.7
Varanasi,Varanasi,India,IND,3,110,1,Populated place,1352000,1164404,82.9980936,25.3319359,3652.7513,814.834223611111,3653,815,1152.7513,-185.165776388889,1153,-185,india,1.09,6,5.5,6,3.54,5.7
Ghaziabad,Ghaziabad,India,IND,4,50,1,Populated place,1341000,1199191,77.4064452,28.6623269,3575.08951666667,768.578793055556,3575,769,1075.08951666667,-231.421206944444,1075,-231,india,1.09,6,5.5,6,3.54,5.7
Asansol,Asansol,India,IND,3,110,1,Populated place,1328000,1328000,86.9813874,23.6852792,3708.074825,837.704455555556,3708,838,1208.074825,-162.295544444444,1208,-162,india,1.09,6,5.5,6,3.54,5.7
Jamshedpur,Jamshedpur,India,IND,3,110,1,Populated place,1300000,616338,86.1955728,22.7894813,3697.16073333333,850.146093055556,3697,850,1197.16073333333,-149.853906944444,1197,-150,india,1.08,6,5.5,6,3.54,5.7
Madurai,Madurai,India,IND,3,110,1,Populated place,1294000,909908,78.1180814,9.9219721,3584.97335277778,1028.86149861111,3585,1029,1084.97335277778,28.8614986111111,1085,29,india,1.08,6,5.5,6,3.54,5.7
Jabalpur,Jabalpur,India,IND,4,50,1,Populated place,1285000,1030168,79.9531115,23.1770028,3610.45988194444,844.76385,3610,845,1110.45988194444,-155.23615,1110,-155,india,1.07,6,5.5,6,3.54,5.7
Rajkot,Rajkot,India,IND,4,50,1,Populated place,1260000,1099882,70.7980631,22.3119652,3483.30643194444,856.778261111111,3483,857,983.306431944444,-143.221738888889,983,-143,india,1.07,6,5.5,6,3.54,5.7
Dhanbad,Dhanbad,India,IND,4,50,1,Populated place,1246000,219636,86.4180399,23.8023394,3700.25055416667,836.078619444444,3700,836,1200.25055416667,-163.921380555556,1200,-164,india,1.06,6,5.5,6,3.53,5.7
Amritsar,Amritsar,India,IND,3,110,1,Populated place,1212000,1092450,74.8680472,31.6419384,3539.83398888889,727.1953,3540,727,1039.83398888889,-272.8047,1040,-273,india,1.06,6,5.5,6,3.53,5.7
Warangal,Warangal,India,IND,6,30,1,Populated place,1203853,865527,79.5799898,18.0099976,3605.27763611111,916.527811111111,3605,917,1105.27763611111,-83.4721888888887,1105,-83,india,1.05,6,5.5,6,3.52,5.7
