name,country_source,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,source,source_line
Antwerpen,Belgien,4.416667,51.216667,2561.34,455.32,2561,455,61.34,-544.68,TeX Live pst-geo cities.data,50
Apeldoorn,Niederlande,5.95,52.216667,2582.64,441.44,2583,441,82.64,-558.56,TeX Live pst-geo cities.data,51
Apia,Westsamoa,-171.733333,-13.833333,114.81,1358.8,115,1359,-2385.19,358.8,TeX Live pst-geo cities.data,52
Arequipa,Peru,-71.55,-16.4,1506.25,1394.44,1506,1394,-993.75,394.44,TeX Live pst-geo cities.data,53
Ariana,Tunesien,10.2,36.866667,2641.67,654.63,2642,655,141.67,-345.37,TeX Live pst-geo cities.data,54
Arica,Chile,-70.333333,-18.5,1523.15,1423.61,1523,1424,-976.85,423.61,TeX Live pst-geo cities.data,55
Arlington,"USA, VA",-77.116667,38.883333,1428.94,626.62,1429,627,-1071.06,-373.38,TeX Live pst-geo cities.data,56
Arusha,Tansania,36.666667,-3.383333,3009.26,1213.66,3009,1214,509.26,213.66,TeX Live pst-geo cities.data,57
As-Smara,Sahara,-11.683333,26.8,2337.73,794.44,2338,794,-162.27,-205.56,TeX Live pst-geo cities.data,58
Asheville,"USA, NC",-82.55,35.6,1353.47,672.22,1353,672,-1146.53,-327.78,TeX Live pst-geo cities.data,59
Asmara,Äthiopien,38.966667,15.333333,3041.2,953.7,3041,954,541.2,-46.3,TeX Live pst-geo cities.data,60
Assiut,Ägypten,31.116667,27.233333,2932.18,788.43,2932,788,432.18,-211.57,TeX Live pst-geo cities.data,61
Asuncion,Paraguay,-57.666667,-25.266667,1699.07,1517.59,1699,1518,-800.93,517.59,TeX Live pst-geo cities.data,62
Atbara,Sudan,34.0,17.7,2972.22,920.83,2972,921,472.22,-79.17,TeX Live pst-geo cities.data,63
Athen,Griechenland,23.716667,37.966667,2829.4,639.35,2829,639,329.4,-360.65,TeX Live pst-geo cities.data,64
Atlanta,"USA, GA",-84.4,33.75,1327.78,697.92,1328,698,-1172.22,-302.08,TeX Live pst-geo cities.data,65
Atlantic City,"USA, NJ",-74.433333,39.366667,1466.2,619.91,1466,620,-1033.8,-380.09,TeX Live pst-geo cities.data,66
Auckland,Neuseeland,174.75,-36.85,4927.08,1678.47,4927,1678,2427.08,678.47,TeX Live pst-geo cities.data,67
Augsburg,Deutschland,10.883333,48.366667,2651.16,494.91,2651,495,151.16,-505.09,TeX Live pst-geo cities.data,68
Augusta,"USA, GA",-81.966667,33.466667,1361.57,701.85,1362,702,-1138.43,-298.15,TeX Live pst-geo cities.data,69
Austin,"USA, TX",-97.75,30.266667,1142.36,746.3,1142,746,-1357.64,-253.7,TeX Live pst-geo cities.data,70
Bacolod,Philippinen,122.966667,10.633333,4207.87,1018.98,4208,1019,1707.87,18.98,TeX Live pst-geo cities.data,71
Baden,Österreich,16.233333,48.016667,2725.46,499.77,2725,500,225.46,-500.23,TeX Live pst-geo cities.data,72
Bagdad,Irak,44.416667,33.35,3116.9,703.47,3117,703,616.9,-296.53,TeX Live pst-geo cities.data,73
Bahia Blanca,Argentinien,-62.25,-38.75,1635.42,1704.86,1635,1705,-864.58,704.86,TeX Live pst-geo cities.data,74
Bakersfield,"USA, CA",-119.016667,35.366667,846.99,675.46,847,675,-1653.01,-324.54,TeX Live pst-geo cities.data,75
Bakhtaran,Iran,54.9,31.466667,3262.5,729.63,3262,730,762.5,-270.37,TeX Live pst-geo cities.data,76
Baku,Sowjetunion,49.85,40.383333,3192.36,605.79,3192,606,692.36,-394.21,TeX Live pst-geo cities.data,77
Baltimore,"USA, MD",-76.616667,39.283333,1435.88,621.06,1436,621,-1064.12,-378.94,TeX Live pst-geo cities.data,78
Bamako,Mali,-7.983333,12.666667,2389.12,990.74,2389,991,-110.88,-9.26,TeX Live pst-geo cities.data,79
